Gene_A	Gene_B	Weight
ENSDARG00000004246	ENSDARG00000078366	8E-1
ENSDARG00000078366	ENSDARG00000052713	3.4E-1
ENSDARG00000032617	ENSDARG00000052713	2.5E-1
ENSDARG00000058996	ENSDARG00000061794	1E0
ENSDARG00000032617	ENSDARG00000115362	6.6E-1
ENSDARG00000052713	ENSDARG00000098528	6.6E-1
ENSDARG00000032617	ENSDARG00000098764	4.1E-1
ENSDARG00000074335	ENSDARG00000099412	7.7E-1
Q66HV9	ENSDARG00000104138	5.4E-1
ENSDARG00000045071	ENSDARG00000104138	5.4E-1
ENSDARG00000098764	ENSDARG00000104138	3.1E-1
ENSDARG00000099412	ENSDARG00000105215	4.9E-1
ENSDARG00000104138	ENSDARG00000105215	2.9E-1
