,ANA,GABRIELA,CARMEN,PEDRO,GERARDO,CINDY,EDOARDO,JORGE,ENOE,YOALI,JANETZY,EMILIO,JAVIER,FRANCISCO,EDITH,FERNANDA,ANDRES,LIZBETH,ALEJANDRA
ANA,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GABRIELA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CARMEN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
PEDRO,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1
GERARDO,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
CINDY,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
EDOARDO,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
JORGE,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
ENOE,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
YOALI,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1
JANETZY,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
EMILIO,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
JAVIER,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
FRANCISCO,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EDITH,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
FERNANDA,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0
ANDRES,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0
LIZBETH,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0
ALEJANDRA,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0
